hkapanis;hdusuk;hyuksek;hacilis;hfark;wadline;mav10ussel;macd;macdas;rsi;momentum;wilimsry;cci;stokfstk;stokfstd;stokslwk;stokslwd;chaikinsal;volatility;mav5ussel;islemhacmi;pddd;fiyatkazanc;bistyuzkapanis;bistyuzdegisim;dolarkapanis;brentkapanis;tufekapanis;tahvilkapanis;mevduatfaiz;sanuretimi;ekonomiguven;altinons;tuketiciguven;rekurendeksi;ufekapanis;hisseadi
13.29;12.92;14.07;13.24;0.377643505;3.2497;12.81;1.1297;1.1001;62.6773;115.62;-29.0109;82.29;49.5333;56.8603;63.1576;69.455;1812;-5.9231;13.21;29589820;2.298;15.5617;82981.15;-1.15059447;2.6628;65.5;260.85;9.88;10.22;123.1;98.38274009;1190.31;64;99.83;248.15;ARCLK
13.38;11.86;13.56;13.33;0.677200903;3.4371;12.91;1.1049;1.1011;63.141;124.09;-27.7244;37.54;56.8965;56.8784;61.0706;65.2628;1105;-1.913;13.27;29109290;2.3139;15.6694;82249.53;-0.881670114;2.6813;63.22;259.51;9.74;10.18;130.2;97.1179066;1172.1;66.3;99.2;248.78;ARCLK
13.42;12.87;13.98;13.38;0.298953662;3.2345;13.01;1.0766;1.0962;63.3859;110.83;-26.6154;66.83;58.6207;57.7495;60.254;62.7584;830;-6.5521;13.32;38146060;2.2828;12.4488;79909.68;-2.844818688;2.7704;51.75;259.74;9.98;9.87;118.9;97.56469136;1095.8;64.3;98.98;247.99;ARCLK
12.55;12;13.93;13.47;-6.482861401;2.5208;12.92;0.9724;1.0714;55.7987;99.61;-47.6859;12.81;25.8621;41.8058;48.79;55.7742;660;-2.2819;13.06;34644000;2.1342;11.6388;75210.37;-5.880776897;2.9156;52.9;260.78;10.97;9.84;124.5;97.09680255;1135.02;62.3;94.56;250.43;ARCLK
13.56;12.04;14.11;12.6;8.047808765;3.0619;13.04;0.9604;1.0492;61.5394;101.89;-23.2885;44.62;75.5102;58.658;57.6967;56.7355;415;4.3119;13.23;33157310;2.3062;12.5767;74205.47;-1.336118942;3.0258;48.51;263.11;11.55;10.65;119.2;93.0781954;1114.56;59.1;90.51;254.25;ARCLK
14.62;13.38;14.94;13.61;7.817109145;5.0573;13.33;1.0244;1.0443;66.4458;105.61;-7.0583;144.89;89.5523;74.1051;68.3152;62.5253;519;7.6176;13.69;43029140;2.2721;12.6524;79409;7.012326719;2.916;49.43;267.2;10.18;10.57;134;95.70623573;1142.11;63.1;94.08;253.74;ARCLK
14.53;14.44;15.81;15.17;-0.615595075;4.8793;13.54;1.0555;1.0465;65.6614;108.07;-24.2891;209.37;66.2651;70.1851;67.6318;65.0786;739;10.6553;13.97;41003880;2.2579;12.5728;75232.79;-5.259114206;2.9137;44.53;268.98;10.55;10.61;130.1;103.5148563;1064.68;77.5;98.97;250.13;ARCLK
12.84;12.44;15.29;14.53;-11.63110805;0.8364;13.42;0.9337;1.024;53.2683;96.5;-66.6379;18.81;22.1687;46.1769;52.4775;58.778;19;27.2642;13.6;34432060;1.9963;11.1166;71726.99;-4.659936179;2.9194;37.7;269.54;10.86;11.61;136.2;102.0662705;1061.07;74;97.94;249.31;ARCLK
14.17;12.48;14.21;12.68;10.35825545;1.2859;13.55;0.9332;1.0058;59.712;107.01;-41.6279;21.15;56.3415;51.2592;53.7655;56.2717;-560;22.7251;13.79;33794350;2.2021;12.2624;73481.09;2.445522947;2.9542;35.85;274.44;10.99;11.59;116.4;98.10393956;1118.52;71.3;98.78;250.67;ARCLK
17.57;13.94;17.87;14.2;23.99435427;4.2078;14.28;1.1935;1.0433;70.8386;132.25;-5.0459;282.5;94.4162;72.8377;67.3157;61.7937;877;51.1908;15.05;67021220;2.7728;14.4906;75814.41;3.175401998;2.9664;36.65;274.38;10.94;12.5;120.2;93.67386946;1238.7;66.6;101.6;250.16;ARCLK
17.62;16.28;17.7;17.57;0.284575982;4.6093;14.89;1.3876;1.1122;70.9554;131.68;-4.2814;215.7;95.2623;84.05;76.6312;69.2125;3727;46.9553;15.9;71434970;2.7801;14.5285;83268.04;9.831415954;2.8175;40.12;274.27;9.99;12.04;133.2;96.01818107;1232.8;67;101.18;251.17;ARCLK
17.63;17.13;19.35;17.59;0.056753689;5.5597;15.39;1.5251;1.1948;71.0006;131.36;-22.9293;185.88;75.1487;79.5993;76.1371;72.6748;5787;43.4737;16.48;31532040;2.7747;14.025;85327.8;2.473650154;2.7976;47.33;276.42;9.22;11.47;126.4;94.14265653;1293.61;68;102.08;252.47;ARCLK
18.4;16.66;19.24;17.58;4.367555303;7.7045;15.94;1.6769;1.2912;73.0887;146.63;-12.655;141.14;86.2109;82.9051;79.495;76.0849;5698;56.6369;17.12;31896900;2.8958;14.637;77803.41;-8.818216337;2.9495;49.545;278.02;9.29;10.06;131.9;96.41800282;1215.4;68.5;99.38;256.21;ARCLK
17.76;17.29;19.61;18.47;-3.47826087;7.143;16.27;1.7258;1.3781;68.6727;130.99;-23.8469;115.63;67.4207;75.1629;75.4702;75.7775;4382;48.0651;17.34;27708010;2.7954;14.1295;76817.19;-1.267579403;2.8772;49.765;279.33;8.74;10.65;131.8;97.24216047;1321.94;69.3;100.5;257.27;ARCLK
